event_date,location,event_type,sub_event_type,actor1,actor2,fatalities,notes,intsum
2017-01-21,Kolkata,Riots,Violent demonstration,Rioters (India),Police Forces of India (2014-),0,Hundreds of CPI(M) supporters lodged a flash protest in front of the Milan Mela ground where the state government is holding the two-day Bengal Global Business Summit. A total of 135 supporters were arrested by Police after CPI(M) members entered into a scuffle with the cops.,"<s> INTSUM Report
Date: 2017-01-21
Location: Kolkata, West Bengal, India (22.5728, 88.3747)
Actors Involved:
- Primary: Communist Party of India (Marxist) (CPI(M)) supporters
- Secondary: Police Forces of India (2014-)
Event Summary:
Hundreds of CPI(M) supporters staged a violent demonstration in front of the Milan Mela ground, where the Bengal Global Business Summit was being held. The protest escalated into a scuffle with police forces, resulting in the arrest of 135 CPI(M) members.
Outcome:
- CPI(M) protest disrupted by police intervention.
- 135 CPI(M) supporters arrested.
Casualties/Fatalities:
- None reported.
Strategic Implications:
- Potential for further unrest related to political opposition to state government events.
- Demonstrates ongoing tensions between CPI(M) and current ruling authorities in West Bengal.
Analyst Remarks:
- The incident highlights the CPI(M)'s continued opposition to state government initiatives, possibly indicating broader political instability.
- Police response suggests a firm stance against unauthorized protests, which may escalate tensions.
Recommended Action:
- Monitor for additional protests or retaliatory actions by CPI(M) or allied groups.
- Assess potential impact on future state-sponsored events and security measures."
2016-12-21,Dimapur,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),Civilians (India),0,Three persons suffered minor injuries in a low intensity IED blast that occurred inside a shop in the Marwari Patti area of Dimapur. The motive behind the blast had not been ascertained and investigation was underway.,"INTSUM Report
Date: 2016-12-21
Location: Dimapur, Nagaland, India (25.9173° N, 93.7214° E)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: Civilians (India)

Event Summary:
A low-intensity improvised explosive device (IED) detonated inside a shop in the Marwari Patti area of Dimapur, Nagaland. The blast resulted in minor injuries to three individuals. The motive remains unknown, and investigations are ongoing.

Outcome:
- No fatalities reported.
- Three civilians sustained minor injuries.
- Investigations initiated to determine the perpetrators and motive.

Strategic Implications:
- Potential escalation of insurgent or militant activity in Nagaland.
- Risk of further attacks targeting civilian areas.
- Possible disruption to local security and public confidence.

Analyst Remarks:
The incident suggests a low-level but deliberate act of violence, possibly linked to regional insurgent groups or criminal elements. The lack of immediate claims indicates either a test of capability or an attempt to avoid attribution.

Recommended Action:
- Enhance surveillance and security measures in high-risk areas, particularly commercial zones.
- Coordinate with local intelligence agencies to identify and neutralize potential threats.
- Monitor for further incidents and patterns of activity in the region."
2021-06-15,Hiranagar,Violence against civilians,Attack,Haripur Communal Militia (India),Civilians (India),0,"On 15 June 2021, one group fired at a person in Haripur village in Hiranagar tehsil (Kathua district, J&K) over a land dispute. He was injured.","INTSUM Report
Date: 15 June 2021
Location: Haripur village, Hiranagar tehsil, Kathua district, Jammu and Kashmir, India
Coordinates: 32.4549, 75.2719
Actors Involved:
- Primary: Haripur Communal Militia (India)
- Secondary: Civilians (India)
Event Summary: A group affiliated with the Haripur Communal Militia opened fire on a civilian in Haripur village over a land dispute, resulting in non-fatal injuries.
Outcome: The civilian sustained injuries, but no fatalities were reported.
Casualties/Fatalities: 0 fatalities, 1 injured
Strategic Implications: The incident highlights ongoing communal tensions and land disputes in the region, which could escalate if unresolved. It underscores the need for local authorities to address grievances and prevent further violence.
Analyst Remarks: The involvement of a communal militia suggests organized violence rather than spontaneous conflict. Monitoring for similar incidents is advised to assess broader patterns of instability.
Recommended Action: Authorities should investigate the incident, mediate the land dispute, and reinforce security measures to prevent further escalation. Community engagement and conflict resolution initiatives may help mitigate tensions."
2023-10-05,Yamunanagar,Riots,Mob violence,Rioters (India),Civilians (India),0,"On 5 October 2023, many people, including the family members of the woman, assaulted a young man in front of the Mukand Lal District Civil Hospital in Yamunanagar city (Haryana) for harassing and molesting a woman. No report of injuries.",
2023-06-29,Kamarhati,Violence against civilians,Attack,TMC: Trinamool Congress Party,Civilians (India),0,"On 29 June 2023, suspected members of a TMC faction fired at an AITYC member in a targeted attack while he was on his bike and assaulted him at Kamarhati town (North 24 Parganas district, WB) ahead of the panchayat (village government) elections. He was left injured in the attack.","INTSUM Report

Date: 29 June 2023
Location: Kamarhati, North 24 Parganas, West Bengal, India
Actors Involved:
- Primary: Trinamool Congress Party (TMC) faction
- Secondary: AITYC member (civilian)
Event Summary:
Suspected TMC faction members conducted a targeted attack on an AITYC member while he was riding a bike in Kamarhati. The assailants fired upon the victim and physically assaulted him, leaving him injured. The incident occurred ahead of the panchayat (village government) elections.
Outcome:
The attack was successful, resulting in the victim's injury. No fatalities were reported.
Casualties/Fatalities:
- Injuries: 1 (AITYC member)
- Fatalities: 0
Strategic Implications:
The attack suggests heightened political violence ahead of the panchayat elections, potentially destabilizing local governance and community relations. It may also indicate factional infighting within the TMC, which could escalate tensions in the region.
Analyst Remarks:
The incident underscores the need for increased security measures and monitoring of political activities in the lead-up to elections. The targeting of an AITYC member suggests possible political motivations, possibly linked to electoral rivalries or internal party disputes.
Recommended Action:
- Deploy additional security forces in Kamarhati and surrounding areas to prevent further violence.
- Conduct thorough investigations to identify and apprehend the perpetrators.
- Monitor political activities and rhetoric to mitigate escalation of tensions."
2019-02-16,Namsai,Protests,Peaceful protest,Protesters (India),,0,"On 16 February 2019, locals and traders staged a protest rally in Namsai district (East Siang, Arunachal Pradesh), against the attack by Pakistan-backed militants in Kashmir's Pulwama district, on February 14.","INTSUM Report
Date: 16 February 2019
Location: Namsai, Arunachal Pradesh, India (Latitude 27.6691, Longitude 95.8644)
Actors Involved:
- Primary: Protesters (Indian citizens)
- Secondary: None
Event Summary:
On 16 February 2019, a peaceful protest rally was organized in Namsai, Arunachal Pradesh, by local residents and traders. The protest condemned the 14 February 2019 attack by Pakistan-backed militants in Pulwama, Jammu and Kashmir, which targeted Indian security forces.
Outcome:
The protest concluded without reported incidents of violence or disruption.
Casualties/Fatalities:
- None reported.
Strategic Implications:
- Demonstrates domestic solidarity with Indian security forces following the Pulwama attack.
- Highlights public sentiment against Pakistan-backed militancy in Kashmir.
Analyst Remarks:
- The protest underscores the broader impact of cross-border terrorism on Indian public opinion.
- No immediate security threats identified from this event.
Recommended Action:
- Monitor for similar protests in other regions to assess public sentiment trends.
- Maintain situational awareness regarding potential retaliatory actions by Indian security forces."
2019-12-25,Uri,Battles,Armed clash,Military Forces of India (2014-),Military Forces of Pakistan (2018-2022),0,"On 25 December 2019, two civilians were injured when there was an exchange of fire between Indian and Pakistan military forces in different areas including Mothal area of Uri sector area (Baramulla district, J&K).","INTSUM Report
Date: 25 December 2019
Location: Uri, Baramulla District, Jammu and Kashmir, India (Latitude 34.0875, Longitude 74.0334)
Actors Involved:
- Primary Actor: Military Forces of India (2014-)
- Secondary Actor: Military Forces of Pakistan (2018-2022)
Event Summary: An armed clash occurred between Indian and Pakistani military forces in the Mothal area of the Uri sector, resulting in an exchange of fire.
Outcome: Two civilians were injured in the crossfire.
Casualties/Fatalities: 0 (2 civilian injuries reported)
Strategic Implications: The incident highlights ongoing border tensions between India and Pakistan, particularly in the disputed region of Jammu and Kashmir. Such clashes could escalate into larger-scale conflict if not managed diplomatically.
Analyst Remarks: The absence of fatalities suggests a controlled exchange, but the injury of civilians underscores the potential for civilian harm in border disputes. Continuous monitoring of border activities is recommended.
Recommended Action: Strengthen border security measures and engage in diplomatic efforts to de-escalate tensions with Pakistan to prevent further incidents."
2017-09-28,Qaimoh,Riots,Mob violence,Rioters (India),Civilians (India),0,"On 28 September 2017, an angry mob beat a man in Qaimoh area of Kulgam district (J&K) and sent him to the hospital. They accused him of being involved in braid cutting incidents.","INTSUM Report
Date: 28 September 2017
Location: Qaimoh, Kulgam district, Jammu and Kashmir, India
Actors Involved:
- Primary: Rioters (India)
- Secondary: Civilians (India)
Event Summary: An angry mob in Qaimoh, Kulgam district, Jammu and Kashmir, accused a man of involvement in braid-cutting incidents and subsequently beat him, resulting in hospitalization.
Outcome: The victim was hospitalized; no fatalities reported.
Casualties/Fatalities: 0
Strategic Implications: The incident highlights ongoing tensions and vigilante justice in the region, potentially exacerbating communal tensions.
Analyst Remarks: The braid-cutting incidents have been a recurring issue in Jammu and Kashmir, often leading to mob violence. Monitoring for similar incidents is recommended.
Recommended Action: Authorities should increase patrols and community engagement to prevent further vigilante actions and address underlying grievances."
2023-06-14,Nanoor,Strategic developments,Other,TMC: Trinamool Congress Party,Civilians (India),0,"Non-violent activity: On 14 June 2023, TMC members physically prevented BJP candidates from filing nominations at Nanoor tehsil (Birbhum district, WB) ahead of the panchayat (village government) elections.","<s> INTSUM Report
Date: 14 June 2023
Location: Nanoor, Birbhum District, West Bengal, India
Coordinates: 23.7039, 87.8671
Actors Involved:
- Primary: Trinamool Congress Party (TMC)
- Secondary: Civilians (India)
- Ally: None

Event Summary:
TMC members physically obstructed Bharatiya Janata Party (BJP) candidates from filing nominations for the upcoming panchayat (village government) elections in Nanoor, Birbhum District, West Bengal.

Outcome:
Nomination process disrupted; no violence reported.

Casualties/Fatalities:
0 reported.

Strategic Implications:
- Escalation of political tensions ahead of local elections.
- Potential for further disruptions in electoral processes.
- Undermines democratic processes and public trust in governance.

Analyst Remarks:
The incident highlights deep-seated political rivalries in West Bengal, particularly between the TMC and BJP. The non-violent but disruptive nature of the event suggests a tactical approach to undermine opposition participation. Continued monitoring is recommended to assess the impact on local governance and stability.

Recommended Action:
- Increase surveillance in Birbhum District to prevent further disruptions.
- Engage with local authorities to ensure fair and peaceful electoral processes.
- Monitor for any escalation in tensions or retaliatory actions by the BJP."
2023-05-03,Imphal,Strategic developments,Looting/property destruction,Unidentified Armed Group (India),Police Forces of India (2014-),0,"Looting: Around 3 May 2023 (week of), unidentified assailants (likely Kuki-Zo and Meitei militias based on outbreak of conflict) looted 1,078 arms from various security outposts across Manipur state, coded as Imphal city (Imphal West, Manipur) amidst ongoing violence between the Tribal and Meitei communities. The protests led to clashes between the two communities during which arms were looted.","INTSUM Report
Date: 03 May 2023
Location: Imphal, Manipur, India (Latitude 24.7992, Longitude 93.9365)
Actors Involved:
- Primary: Unidentified Armed Group (likely Kuki-Zo and Meitei militias)
- Secondary: Police Forces of India (2014-)
Event Summary: Unidentified armed assailants, likely affiliated with Kuki-Zo and Meitei militias, looted approximately 1,078 firearms from multiple security outposts in Imphal, Manipur, during a period of escalating violence between tribal and Meitei communities.
Outcome: Successful looting of weapons from security outposts, exacerbating ongoing communal tensions.
Casualties/Fatalities: 0
Strategic Implications: The looting of firearms risks further escalation of violence, potentially prolonging the conflict and destabilizing the region. The proliferation of weapons may empower armed groups, complicating security operations.
Analyst Remarks: The incident underscores the fragility of security infrastructure in conflict zones and the need for enhanced protective measures. The involvement of militias suggests a coordinated effort to exploit the security vacuum.
Recommended Action: Strengthen security presence in vulnerable areas, implement stricter arms control measures, and engage in community dialogue to mitigate tensions."
2017-07-27,Kulgam,Violence against civilians,Attack,Kashmir Rebels (India),Civilians (India),0,"On 27 July 2017, suspected militants (coded as Kashmir Rebels) assaulted the family members of policemen and ransacked their homes in Kulgam district (J&K).","INTSUM Report
Date: 27 July 2017
Location: Kulgam, Jammu and Kashmir, India (33.6446° N, 75.0192° E)
Actors Involved:
- Primary: Kashmir Rebels (India)
- Secondary: Civilians (India)
Event Summary: Suspected militants (Kashmir Rebels) targeted the family members of policemen, assaulting them and ransacking their homes in Kulgam district, Jammu and Kashmir.
Outcome: Civilian properties damaged; no fatalities reported.
Casualties/Fatalities: 0
Strategic Implications: Escalation of targeted violence against security forces' families may deter recruitment and undermine local support for security operations. The incident underscores ongoing insurgent activity in the region.
Analyst Remarks: The attack aligns with historical tactics of Kashmiri militants to intimidate and retaliate against security personnel and their families. The absence of fatalities suggests a calculated, non-lethal approach to maximize psychological impact.
Recommended Action: Increase security measures for security personnel and their families in high-risk areas. Conduct targeted intelligence operations to preempt similar incidents. Strengthen community engagement to counter insurgent influence."
2021-11-03,Bandi Checkiyan,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),Military Forces of India (2014-),0,"On 3 November 2021, a mine explosion took place at Bandi Checkiyan town (Poonch district, J&K). One Indian soldier was left injured in the explosion.","<s> INTSUM Report
Date: 03 November 2021
Location: Bandi Checkiyan, Poonch District, Jammu and Kashmir, India (33.7586° N, 74.1566° E)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: Military Forces of India (2014-)

Event Summary:
An improvised explosive device (IED) detonated in Bandi Checkiyan, Poonch District, Jammu and Kashmir, injuring one Indian soldier.

Outcome:
The explosion resulted in one Indian soldier sustaining injuries. No fatalities were reported.

Casualties/Fatalities:
- Injured: 1 (Indian soldier)
- Fatalities: 0

Strategic Implications:
The incident highlights ongoing security challenges in the region, particularly the use of IEDs by unidentified armed groups targeting Indian military personnel. This could indicate persistent insurgent or militant activity in the area, requiring heightened vigilance and countermeasures.

Analyst Remarks:
The lack of identification of the responsible armed group suggests either a low-profile operation or insufficient intelligence on the perpetrators. Further investigation is needed to determine the group's affiliation and motives.

Recommended Action:
- Enhance surveillance and patrols in Poonch District to prevent similar incidents.
- Strengthen intelligence-gathering efforts to identify and neutralize the responsible armed group.
- Coordinate with local authorities to improve community engagement and information sharing.
- Implement counter-IED measures, such as mine detection and clearance operations, in high-risk areas.

 [/s]"
2019-08-28,Kangra,Riots,Mob violence,Rioters (India),Civilians (India),0,"On 28 August 2019, two persons were beaten by a mob at the Kangra Mandir Railway in Kangra district (Himachal Pradesh) after they were suspected of being child lifters. They were rescued by police. No injuries were reported.","<s> INTSUM Report
Date: 28 August 2019
Location: Kangra, Himachal Pradesh, India (Latitude 32.0913, Longitude 76.2626)
Actors Involved:
- Primary: Rioters (India)
- Secondary: Civilians (India)
- Ally: None
Event Summary: On 28 August 2019, a mob attacked two individuals at the Kangra Mandir Railway in Kangra district, Himachal Pradesh, India, suspecting them of being child lifters. The victims were rescued by police without reported injuries.
Outcome: The victims were rescued by police; no injuries or fatalities reported.
Casualties/Fatalities: 0
Strategic Implications: The incident highlights the risk of mob violence in response to misinformation, particularly regarding child abductions, which could escalate tensions and undermine public security.
Analyst Remarks: The lack of injuries suggests a swift police response, but the event underscores the need for proactive measures to prevent such incidents and counter misinformation.
Recommended Action: Authorities should enhance community awareness campaigns to dispel false rumors and improve rapid response capabilities to mitigate mob violence risks."
2020-07-17,Poonch,Battles,Armed clash,Military Forces of India (2014-),Military Forces of Pakistan (2018-2022),0,"On 17 July 2020, military forces of India and Pakistan exchanged fire across the LoC in Poonch sector area (Poonch district, J&K).","<s> INTSUM Report
Date: 17 July 2020
Location: Poonch sector, Poonch district, Jammu and Kashmir, India (Latitude 33.7703, Longitude 74.0925)
Actors Involved:
- Primary: Military Forces of India (2014-)
- Secondary: Military Forces of Pakistan (2018-2022)

Event Summary:
On 17 July 2020, Indian and Pakistani military forces engaged in an armed clash along the Line of Control (LoC) in the Poonch sector of Jammu and Kashmir.

Outcome:
No fatalities reported. The exchange of fire resulted in no casualties.

Casualties/Fatalities:
0

Strategic Implications:
The incident highlights ongoing tensions and sporadic clashes along the LoC, which could escalate if not managed diplomatically. The absence of fatalities suggests a controlled exchange, but the potential for escalation remains.

Analyst Remarks:
The exchange of fire is consistent with historical patterns of cross-border skirmishes in the region. Both sides are likely to maintain a heightened state of alert in the aftermath of the incident.

Recommended Action:
- Monitor for further escalation or diplomatic responses.
- Assess the impact on regional stability and potential for broader conflict.
- Maintain situational awareness of LoC activities.

 [/s]"
2020-05-28,Rajpora,Strategic developments,Disrupted weapons use,Military Forces of India (2014-) Rashtriya Rifles,JeM: Jaish-e-Mohammad,0,"On 28 May 2020, RR, CRPF and SoG located and recovered a vehicle borne IED device prepared by JeM and HM militants at Rajpora town (Pulwama district, J&K) and safely detonated it. The IED was packed with 40-45 kilograms of explosive material.","INTSUM Report
Date: 28 May 2020
Location: Rajpora, Pulwama District, Jammu and Kashmir, India (Coordinates: 33.8244, 74.853)
Actors Involved:
- Primary Actor: Military Forces of India (2014-) Rashtriya Rifles (RR)
- Secondary Actor: Jaish-e-Mohammad (JeM)
- Supporting Actors: Central Reserve Police Force (CRPF), Special Operations Group (SoG)

Event Summary:
On 28 May 2020, Indian security forces, including the Rashtriya Rifles (RR), CRPF, and Special Operations Group (SoG), located and safely detonated a vehicle-borne improvised explosive device (VBIED) in Rajpora, Pulwama District, Jammu and Kashmir. The device, prepared by Jaish-e-Mohammad (JeM) and Hizbul Mujahideen (HM) militants, contained 40-45 kilograms of explosive material.

Outcome:
Successful neutralization of the VBIED without casualties or collateral damage.

Casualties/Fatalities:
0

Strategic Implications:
- Demonstrates ongoing terrorist activity in the region, particularly by JeM and HM.
- Highlights the effectiveness of Indian counter-terrorism operations in preventing potential attacks.
- Reinforces the need for continued vigilance and intelligence-gathering in Jammu and Kashmir.

Analyst Remarks:
The successful detection and neutralization of the VBIED indicate proactive counter-terrorism measures by Indian forces. However, the presence of such a large explosive device suggests that militant groups continue to pose a significant threat in the region. Further intelligence efforts should focus on identifying and dismantling militant networks operating in Pulwama District.

Recommended Action:
- Enhance surveillance and intelligence operations in Pulwama District to preempt future attacks.
- Strengthen coordination between RR, CRPF, and SoG to ensure rapid response to similar threats.
- Conduct thorough investigations to determine the source of the explosives and disrupt militant supply chains."
2019-09-13,Dantewada,Violence against civilians,Attack,Police Forces of India (2014-),Civilians (India),2,"In the night of 13 and 14 September, security forces branded two men of Gomiyapal village as Maoist commanders of Malangir Area Committee and killed them in Dantewada district area (Chhattisgarh). The men were later revealed to be innocent.","INTSUM Report
Date: 13-14 September 2019
Location: Gomiyapal village, Dantewada district, Chhattisgarh, India (18.8969° N, 81.3459° E)
Actors Involved:
- Primary: Police Forces of India (2014-)
- Secondary: Civilians (India)

Event Summary:
On the night of 13-14 September 2019, Indian security forces mistakenly identified and fatally shot two civilians from Gomiyapal village, branding them as Maoist commanders of the Malangir Area Committee. Post-incident investigation confirmed the victims' innocence.

Outcome:
Two civilians were killed in a case of mistaken identity. The incident exposed operational errors and potential human rights violations by security forces.

Casualties/Fatalities:
- 2 civilians killed

Strategic Implications:
- Undermines public trust in security forces and governance in Maoist-affected regions.
- May escalate local tensions and fuel anti-government sentiment.
- Highlights risks of excessive use of force and misidentification in counterinsurgency operations.

Analyst Remarks:
The incident underscores the need for improved intelligence vetting and operational protocols to prevent civilian casualties. The misidentification suggests potential gaps in surveillance and verification processes.

Recommended Action:
- Conduct thorough internal investigations to determine operational failures.
- Implement stricter verification protocols for target identification.
- Enhance community engagement to rebuild trust and mitigate future risks."
2023-06-23,Chennai,Protests,Peaceful protest,Protesters (India),,0,"On 23 June 2023, residents of the Perumbakkam Slum Board Tenements staged a protest with empty pots in Chennai city (Tamil Nadu) after water supply to the locality was cut off.","INTSUM Report
Date: 2023-06-23
Location: Perumbakkam Slum Board Tenements, Chennai, Tamil Nadu, India (13.0878° N, 80.2784° E)
Actors Involved:
- Primary: Protesters (Residents of Perumbakkam Slum Board Tenements)
- Secondary: None
Event Summary: Residents staged a peaceful protest with empty pots in response to the suspension of water supply to the locality.
Outcome: Protest concluded without reported escalation or intervention.
Casualties/Fatalities: 0
Strategic Implications: Potential for further civil unrest if water supply issues persist, highlighting local governance challenges in urban slum areas.
Analyst Remarks: The protest reflects underlying socio-economic grievances and infrastructure deficiencies. Monitoring for similar incidents in other urban slum areas is advised.
Recommended Action: Authorities should address water supply issues promptly to mitigate further unrest. Social welfare assessments in affected areas may be warranted."
2017-03-31,Balakote,Battles,Armed clash,Police Forces of India (2014-) Border Security Force,Unidentified Armed Group (Pakistan),1,A soldier was killed in a mysterious incident of firing on the Line of Control (LoC) in the Balakote sector of Poonch district. It is unclear whether it was an accident or a result of enemy firing.,"INTSUM Report
Date: 31 March 2017
Location: Balakote, Poonch District, Jammu and Kashmir, India (33.5535, 74.1863)
Actors Involved:
- Primary: Police Forces of India (2014-) Border Security Force (BSF)
- Secondary: Unidentified Armed Group (Pakistan)
Event Summary: A soldier was killed in an armed clash along the Line of Control (LoC) in the Balakote sector. The incident involved firing, but the origin (accidental or enemy action) remains unclear.
Outcome: One BSF soldier killed; no further details on injuries or damage.
Casualties/Fatalities: 1 (BSF soldier)
Strategic Implications: The incident highlights ongoing tensions along the LoC, potentially escalating Indo-Pakistani relations. The unclear nature of the attack may complicate diplomatic responses.
Analyst Remarks: Further investigation is required to determine the exact cause of the incident and the identity of the perpetrators. The ambiguity may be exploited for propaganda or strategic misdirection.
Recommended Action: Heightened surveillance and coordination between Indian intelligence and security forces to prevent similar incidents and clarify the attack's origins. Diplomatic channels should remain open to manage tensions."
2023-12-04,Leithao,Battles,Armed clash,Kuki Tribal Militia (India),PLA: People's Liberation Army of Manipur,13,"On 4 December 2023, armed Kuki assailants engaged in a gun battle with PLA at Leithao village near Saibol (Tengnoupal, Manipur) which resulted in the death of 13 PLA cadres, amidst ongoing conflict between Meitei and Tribal communities. An armed group of about 24 members (suspected to have been PLA) was previously engaged in an armed clash with Myanmar's PDF in the Indo-Myanmar border, which resulted in a split of the members. One of the split groups entered India through the jungle route commonly used by armed groups, where they are suspected to have encountered an armed Kuki group, resulting in the killings. PLA claims that the clash occurred between PLA cadres on one side and Kuki assailants and Indian security forces on the other side. Leithao is a predominantly Kuki village and an unspecified number of residents fled the village due to concerns over safety. AR handed over one PLA militant (likely) who survived over to the police on around 23 December.","<s> INTSUM Report
Date: 04 December 2023
Location: Leithao village, near Saibol, Tengnoupal district, Manipur, India (24.5105° N, 94.3176° E)
Actors Involved:
- Primary: Kuki Tribal Militia (India)
- Secondary: PLA (People's Liberation Army of Manipur)
- Alleged: Indian Security Forces (claimed by PLA)

Event Summary:
On 04 December 2023, armed clashes occurred between Kuki Tribal Militia and a faction of the PLA near Leithao village in Tengnoupal district, Manipur. The incident followed a prior split within the PLA after an earlier clash with Myanmar's PDF, with one faction crossing into India via jungle routes. The engagement resulted in the deaths of 13 PLA cadres. PLA claims the clash involved Indian security forces, though this has not been independently verified.

Outcome:
- Kuki Tribal Militia reportedly gained tactical advantage, eliminating 13 PLA cadres.
- Unspecified number of Leithao residents fled due to safety concerns.
- One surviving PLA militant was handed over to police by AR (presumably Assam Rifles) around 23 December.

Casualties/Fatalities:
- PLA: 13 fatalities
- Kuki Tribal Militia: No reported fatalities
- Civilians: Unspecified number displaced

Strategic Implications:
- Escalation of ethnic tensions between Meitei and Tribal communities in Manipur.
- Potential for further armed clashes along the Indo-Myanmar border.
- Possible involvement of Indian security forces, if PLA claims are accurate, could indicate broader security force engagement in the conflict.

Analyst Remarks:
- The incident underscores the volatile security environment in Manipur, exacerbated by cross-border armed group movements.
- Verification of PLA claims regarding Indian security force involvement is critical to assessing broader implications.

Recommended Action:
- Monitor for further clashes and displacement in the region.
- Verify PLA claims of Indian security force involvement through independent sources.
- Assess impact on ethnic"
2020-09-29,Krishna Ghati,Battles,Armed clash,Military Forces of India (2014-),Military Forces of Pakistan (2018-2022),0,"On 29 September 2020, military forces of India and Pakistan exchanged fire across the LoC at Krishna Ghati sector area (Poonch district, J&K).","<s> INTSUM Report
Date: 29 September 2020
Location: Krishna Ghati, Poonch District, Jammu and Kashmir, India (Coordinates: Latitude 33.7041, Longitude 74.0601)
Actors Involved:
- Primary Actor: Military Forces of India (2014-)
- Secondary Actor: Military Forces of Pakistan (2018-2022)
Event Summary: On 29 September 2020, military forces of India and Pakistan engaged in an armed clash across the Line of Control (LoC) in the Krishna Ghati sector of Poonch District, Jammu and Kashmir.
Outcome: No further details on the outcome of the clash provided.
Casualties/Fatalities: 0 (No reported casualties or fatalities)
Strategic Implications: The incident highlights ongoing tensions and periodic clashes along the LoC, which could escalate into larger conflicts if not managed diplomatically.
Analyst Remarks: The absence of reported casualties suggests a limited exchange, but the frequency of such incidents underscores the need for continued monitoring and diplomatic engagement.
Recommended Action: Maintain heightened surveillance along the LoC and encourage diplomatic channels to de-escalate tensions between India and Pakistan.

 [/s]"
2024-05-07,Bathinda,Strategic developments,Arrests,Police Forces of India (2014-),Civilians (India),0,"On 7 May 2024, the police pre-emptively detained farmers and employee union activists in the Bathinda district (Punjab) to prevent them from protesting at the rally of the Chief Minister's (AAP) rally in Bahavwala village.",
2022-06-23,Mundamaska,Battles,Armed clash,CPI (Maoist): Communist Party of India (Maoist),Police Forces of India (2014-),0,"On 23 June 2022, CPI (Maoist) cadres clashed and exchanged fire with police, SOG and DVF personnel, from a CPI (Maoist) camp in the Labanagada forest area under Mundamaska police station limits (Kalahandi, Odisha). CPI (Maoist) cadres used LMG and other automatic weapons while the police forces fired using UBGL and AK-47. Police forces subsequently captured the CPI (Maoist) camp and recovered 2 IEDs, one booby trap, detonators, electric wire and other camp articles. There were no fatalities.","INTSUM Report
Date: 23 June 2022
Location: Mundamaska, Kalahandi, Odisha, India (20.2243° N, 83.69° E)
Actors Involved:
- Primary: CPI (Maoist)
- Secondary: Police Forces of India (2014–), Special Operations Group (SOG), District Volunteer Force (DVF)
Event Summary: CPI (Maoist) cadres engaged in an armed clash with police, SOG, and DVF personnel in the Labanagada forest area. The Maoists used LMGs and automatic weapons, while security forces responded with UBGLs and AK-47s. Security forces captured the Maoist camp and recovered 2 IEDs, a booby trap, detonators, and other camp materials.
Outcome: Security forces successfully captured the Maoist camp and seized explosives and weapons.
Casualties/Fatalities: None reported.
Strategic Implications: The operation disrupted Maoist activities in the region and demonstrated the effectiveness of coordinated counter-insurgency efforts. However, the presence of IEDs and booby traps indicates ongoing Maoist operational capabilities.
Analyst Remarks: The absence of fatalities suggests a tactical victory for security forces, but the seizure of IEDs highlights the persistent threat. Continued vigilance and intelligence-sharing are recommended to prevent future attacks.
Recommended Action: Enhance surveillance in the Labanagada forest area and neighboring regions to preempt further Maoist activities. Strengthen community engagement to gather actionable intelligence."
2016-07-31,Kargil,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),Military Forces of India (2014-),2,Two soldiers were killed in a mine blast near the Line of Control in the Kargil sector of the Ladakh region.,"<s>

INTSUM Report
Date: 31 July 2016
Location: Kargil, Jammu and Kashmir, India (Latitude 34.5577, Longitude 76.1262)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: Military Forces of India (2014-)
Event Summary:
An improvised explosive device (IED) detonated near the Line of Control (LoC) in the Kargil sector of the Ladakh region, resulting in fatalities.
Outcome:
Successful detonation of IED, causing casualties among Indian military personnel.
Casualties/Fatalities:
2 Indian soldiers killed.
Strategic Implications:
- Demonstrates continued operational capability of unidentified armed groups in the region.
- Highlights vulnerability of Indian military forces along the LoC.
- Potential for escalation in tensions between India and Pakistan, given the proximity to the LoC.
Analyst Remarks:
The use of IEDs in the region suggests a low-intensity conflict strategy by non-state actors. The lack of immediate claim of responsibility may indicate either a localized militant cell or a broader, yet-to-be-identified group.
Recommended Action:
- Enhance counter-IED measures and patrols in the Kargil sector.
- Strengthen intelligence gathering to identify and neutralize potential threats.
- Maintain heightened vigilance along the LoC to prevent further incidents."
